MMVM# sh sfm link | beg SFM8 | until SFM12
sfmUnifiedOperationalDataHandler - SHOW SFM LINKS command
SFM Links (SFM8):
 Link  | CRC Error  | Size Error | Code Group Error | Misalign | No Signal Lock | No signal accept | Errored tokens | Errored tokens count
 ----------------------------------------------------------------------------------------------------------------------------------------
  0    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  1    |    -      |         -        |   -      |      -         |        -           |      -         |    -                  |  63
  2    |    -      |         -        |   -      |      -         |        -           |      -         |    -                  |  63
  3    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  4    |    -      |         -        |   -      |      -         |        -           |      -         |    -                  |  63
  5    |    -      |         -        |   -      |      -         |        -           |      -         |    -                  |  63
  6    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  7    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  8    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  9    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  10    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  11    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  12    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  13    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  14    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  15    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  16    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  17    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  18    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  19    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  20    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  21    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  22    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  23    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  24    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  25    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  26    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  27    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  28    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  29    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  30    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  31    |    -      |         -        |   -      |      ***       |        ***         |      ***       |    ***               |  0
  32    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  33    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  34    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  35    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  36    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  37    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  38    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  39    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  40    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  41    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  42    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  43    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  44    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  45    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  46    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  47    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  48    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  49    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  50    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
