MMVM# sh sfm link-conn
sfmUnifiedOperationalDataHandler - SHOW SFM Connectivity command
SFM Connectivity (SFM8):
 Link | Logical Port | Remote Module | Remote Link | Remote Device Type
 ----------------------------------------------------------------------
 000  |     001      |     0050      |     027     |     FAP
 001  |     002      |     0048      |     028     |     FAP
 002  |     004      |     0048      |     029     |     FAP
 003  |     005      |     0048      |     027     |     FAP
 004  |     028      |     0074      |     028     |     FAP
 005  |     033      |     0074      |     029     |     FAP
 006  |     038      |     0050      |     029     |     FAP
 007  |     040      |     0050      |     028     |     FAP
 008  |     064      |     0028      |     029     |     FAP
 009  |     065      |     0028      |     027     |     FAP
 010  |     068      |     0030      |     026     |     FAP
 011  |     069      |     0028      |     028     |     FAP
 012  |     070      |     0024      |     027     |     FAP
 013  |     071      |     0030      |     028     |     FAP
 014  |     074      |     0002      |     029     |     FAP
 015  |     076      |     0002      |     028     |     FAP
 016  |     100      |     0072      |     029     |     FAP
 017  |     101      |     0072      |     027     |     FAP
 018  |     105      |     0072      |     028     |     FAP
 019  |     106      |     0074      |     027     |     FAP
 020  |     109      |     0002      |     027     |     FAP
 021  |     110      |     0000      |     028     |     FAP
 022  |     112      |     0000      |     029     |     FAP
 023  |     113      |     0000      |     027     |     FAP
 024  |     132      |     0026      |     007     |     FAP
 025  |     133      |     0026      |     008     |     FAP
 026  |     134      |     0026      |     006     |     FAP
 027  |     135      |     0032      |     009     |     FAP
 028  |     136      |     0024      |     028     |     FAP
 029  |     137      |     0032      |     007     |     FAP
 030  |     138      |     0034      |     008     |     FAP
 031  |     139      |     0032      |     006     |     FAP
 032  |     140      |     0034      |     007     |     FAP
 033  |     141      |     0024      |     029     |     FAP
 034  |     142      |     0034      |     006     |     FAP
 035  |     143      |     0030      |     029     |     FAP


SFM Connectivity (SFM9):
 Link | Logical Port | Remote Module | Remote Link | Remote Device Type
 ----------------------------------------------------------------------
 000  |     014      |     0050      |     025     |     FAP
 001  |     019      |     0050      |     024     |     FAP
 002  |     024      |     0050      |     026     |     FAP
 003  |     027      |     0048      |     024     |     FAP
 004  |     030      |     0048      |     025     |     FAP
 005  |     031      |     0048      |     026     |     FAP
 006  |     042      |     0028      |     025     |     FAP
 007  |     043      |     0028      |     026     |     FAP
 008  |     044      |     0028      |     024     |     FAP
 009  |     045      |     0030      |     027     |     FAP
 010  |     046      |     0030      |     024     |     FAP
 011  |     047      |     0024      |     026     |     FAP
 012  |     048      |     0026      |     009     |     FAP
 013  |     049      |     0026      |     011     |     FAP
 014  |     050      |     0032      |     008     |     FAP
 015  |     051      |     0026      |     010     |     FAP
 016  |     052      |     0032      |     011     |     FAP
 017  |     053      |     0024      |     024     |     FAP
 018  |     054      |     0032      |     010     |     FAP
 019  |     055      |     0034      |     009     |     FAP
 020  |     056      |     0024      |     025     |     FAP
 021  |     057      |     0034      |     011     |     FAP
 022  |     058      |     0030      |     025     |     FAP
 023  |     059      |     0034      |     010     |     FAP
 024  |     078      |     0072      |     025     |     FAP
 025  |     079      |     0072      |     026     |     FAP
 026  |     080      |     0072      |     024     |     FAP
 027  |     083      |     0074      |     026     |     FAP
 028  |     089      |     0074      |     024     |     FAP
 029  |     092      |     0074      |     025     |     FAP
 030  |     122      |     0002      |     025     |     FAP
 031  |     127      |     0002      |     024     |     FAP
 032  |     132      |     0002      |     026     |     FAP
 033  |     135      |     0000      |     024     |     FAP
 034  |     138      |     0000      |     025     |     FAP
 035  |     139      |     0000      |     026     |     FAP
